"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Reguli Preț Coș Cumpărături bazate pe atributul ""%s"" au fost dezactivate."
"%s Coupon(s) have been generated","%s Cupon(oane) a(u) fost generat(e)"
"Actions","Acțiuni"
"Edit Rule","Modificați regulă"
"Edit Rule '%s'","Modificare Regula '%s'"
"Excluding prefix, suffix and separators.","Fără prefix, sufix și separatori."
"FOUND","GĂSIT"
"Fixed amount discount","Reducere în sumă fixă"
"Fixed amount discount for whole cart","Reducere în sumă fixă pe tot coșul"
"For matching items only","Numai pentru articolele care se potrivesc"
"For shipment with matching items","Pentru livrare cu articole care se potrivesc"
"Free Shipping","Livrare gratuită"
"From Date","De la Data"
"General Information","Informații generale"
"Generate","Generați"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Dacă %s %s %s pentru o subselecție de articole din coș care satisfac %s din aceste condiții:"
"If an item is %s in the cart with %s of these conditions true:","Dacă un articol e %s în coș cu %s din aceste condiții adevărate:"
"If empty no separation.","Dacă e gol nicio separare."
"If you select and save the rule you will be able to generate multiple coupon codes.","Dacă selectați și salvați regula veți putea să generați multiple coduri cupon."
"Inactive","Inactiv"
"Item totals are not set for rule.","Totaluri articol ne-setate pentru regulă."
"Labels","Etichete"
"Manage Coupon Codes","Gestionare Coduri Cupon"
"Maximum Qty Discount is Applied To","Reducere Cant Maximă Aplicată La"
"NOT FOUND","NE-GĂSIT"
"NOT LOGGED IN","NE-LOGAT"
"New Rule","Regulă nouă"
"No","Nu"
"No Coupon","Niciun Cupon"
"Not valid data provided","Date ne-valide furnizate"
"Number of Uses","Număr de utilizări"
"Payment Method","Metode de plată"
"Percent of product price discount","Reducere ca procent din prețul produsului"
"Period","Perioada"
"Price in cart","Prețul în coș"
"Priority","Prioritate"
"Product attribute combination","Combinație atribute produs"
"Products subselection","Subselecție produse"
"Promotions","Promoții"
"Public In RSS Feed","Public în Feed RSS"
"Quantity in cart","Cantitate în coș"
"Row total in cart","Total rânduri în coș"
"Rule Information","Informații Regulă"
"Rule Name","Nume Regulă"
"Rule is not defined","Regula nu e definită"
"Sales Discount Amount","Sumă Reducere Vânzări"
"Sales Subtotal Amount","Sumă Subtotal Vânzări"
"Sales Total Amount","Sumă Total Vânzări"
"Save and Continue Edit","Salvați și continuați editarea"
"Shipping Country","Țară de Expediere"
"Shipping Method","Modalitate livrare"
"Shipping Postcode","Cod Poștal de Expediere"
"Shipping Region","Regiune de Expediere"
"Shipping State/Province","Județ de Expediere"
"Shopping Cart Price Rule","Regulă Preț Coș Cumpărături"
"Shopping Cart Price Rules","Reguli Preț Coș Cumpărături"
"Special Price","Preț redus"
"Specific Coupon","Cupon Specific"
"Status","Statut"
"Stop Further Rules Processing","Oprire Procesare Alte Reguli"
"Store View Specific Labels","Etichete specifice vizualizare magazin"
"Subtotal Amount","Sumă Subtotal"
"The rule has been deleted.","Regula a fost ștearsă."
"The rule has been saved.","Regula a fost salvată."
"This rule no longer exists.","Această regulă nu mai există."
"Times Used","Număr Utilizări"
"To Date","Până la Data"
"To Fixed Value","Până la Valoare Fixă"
"To Percentage","Până la Procent"
"Total Amount","Sumă Total"
"Total Items Quantity","Cantitate Totală Articole"
"Total Weight","Greutate totală"
"Unable to create requested Coupon Qty. Please check settings and try again.","Nu se poate crea Cant Cupon cerută. Verficați setările și încercați din nou."
"Unable to find a rule to delete.","Imposibil de găsit o regulă de șters."
"Update prices using the following information","Actualizare prețuri folosind următoarele informații"
"Update product's %s %s: %s","Actualizare pentru produs %s %s: %s"
"Update the Product","Actualizare Produs"
"Use Auto Generation","Utilizare Generare Automată"
"Used","Utilizat"
"Uses per Coupon","Utilizări per Cupon"
"Uses per Customer","Utilizări per Client"
"Website","Site"
"Websites","Website-uri"
"Wrong rule specified.","Regulă greșită specificată."
"Yes","Da"
"total amount","suma totală"
"total quantity","cantitatea totală"
