"1 Day Freight","ارسال 1 روزه"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","اولویت پست اکسپرس یکشنبه / تعطیلات تعطیلات محدود"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","اولویت ایمیل اکسپرس یکشنبه / تعطیلات تعطیلات تسویه حساب پاکت"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","پست پیشتاز اکسپرس یکشنبه / تحویل تعطیلات حقوقی هزینه حق بیمه"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","پست پیشتاز اکسپرس یکشنبه / تحویل تعطیلات تخت بسته بندی تخت"
"Priority Mail Flat Rate Envelope","اولویت پاکت پستی نرخ ثابت"
"Priority Mail Flat Rate Envelope Hold For Pickup","پست پیشتاز پاکت صاف کردن برای نگهداشتن"
"Priority Mail Gift Card Flat Rate Envelope","پست پیشتاز کارت قرعه کشی هدیه کارت"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","پست پیشتاز کارت قرمز کارت قرص پاکت نامه برای نگهداری"
"Priority Mail Hold For Pickup","اولویت ایمیل انتظار برای وانت"
"Priority Mail International","اولویت پست بین المللی"
"Priority Mail International DVD Flat Rate priced box","اولویت ایمیل بین المللی دی وی دی نرخ قیمت جعبه"
"Priority Mail International Flat Rate Envelope","پست پیشتاز پاکت نامه بین المللی"
"Priority Mail International Gift Card Flat Rate Envelope","پست پیشتاز کارت قرعه کشی کارت بین المللی"
"Priority Mail International Large Flat Rate Box","پست پیشتاز جعبه بزرگ تخت بین المللی"
"Priority Mail International Large Video Flat Rate priced box","اولویت ایمیل بین المللی بزرگ فیلم تخت نرخ قیمت جعبه"
"Priority Mail International Legal Flat Rate Envelope","اولویت پاکت پستی بین المللی نرخ قانونی"
"Priority Mail International Medium Flat Rate Box","پست پیشتاز جعبه متوسط تخت بین المللی"
"Priority Mail International Padded Flat Rate Envelope","اولویت پاکت پستی بین المللی نرخ خالی می باشند"
"Priority Mail International Small Flat Rate Box","پست پیشتاز صندوق بین المللی پول کوچک"
"Priority Mail International Small Flat Rate Envelope","پست پیشتاز بسته کوچک تطبیقی بین المللی"
"Priority Mail International Window Flat Rate Envelope","پست پیشتاز پاکت پنجره دار ثابت بین المللی"
"Priority Mail Large Flat Rate Box","اولویت صندوق پستی تسویه حساب بزرگ"
"Priority Mail Large Flat Rate Box Hold For Pickup","اولویت ایمیل بزرگ نرخ جعبه نگه برای وانت"
"Priority Mail Legal Flat Rate Envelope","پست پیشتاز حق امتیاز مسکن"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","پست پیشتاز بسته ی حقوقی Flat Rate برای پیکربندی"
"Priority Mail Medium Flat Rate Box","اولویت ایمیل متوسط نرخ جعبه"
"Priority Mail Medium Flat Rate Box Hold For Pickup","پست پیشتاز اکسپرس جعبه متوسط تخت برای نگهداشتن"
"Priority Mail Padded Flat Rate Envelope","پست پیشتاز پاکت تخت پلاستیکی"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","پست پیشتاز پاکت تخت پهن شده برای نگه دارنده"
"Priority Mail Regional Rate Box A","پست پیشتاز جعبه منطقه ای نرخ A"
"Priority Mail Regional Rate Box A Hold For Pickup","پست پیشتاز جعبه نرخ منطقه ای A برای پیکربندی نگه دارید"
"Priority Mail Regional Rate Box B","پست پیشتاز جعبه منطقه ای نرخ B"
"Priority Mail Regional Rate Box B Hold For Pickup","پست پیشتاز جعبه نرخ منطقه ای B برای پیکربندی نگه دارید"
"Priority Mail Regional Rate Box C","صندوق پستی پیشتاز صندوق پستی C"
"Priority Mail Regional Rate Box C Hold For Pickup","پست پیشتاز جعبه نرخ منطقه ای C برای نگهداری نگه دارید"
"Priority Mail Small Flat Rate Box","پست پیشتاز جعبه کوچک تخت"
"Priority Mail Small Flat Rate Box Hold For Pickup","پست پیشتاز جعبه کوچک تخت برای نگهداشتن"
"Priority Mail Small Flat Rate Envelope","پست پیشتاز پاکت کوچک تخت"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","پست پیشتاز پاکت صاف کوچک برای نگهدارنده"
"Priority Mail Window Flat Rate Envelope","پست پیشتاز پاکت صاف پنجره دار"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","پست پیشتاز پاکت پهن تخت پنجره برای نگه دارنده"
"Rectangular","مستطیلی"
"Regular","عادی"
"Regular Pickup","پیکاپ عادی"
"Request Courier","درخواست پیک"
"Required","الزامی"
"Residential","محلی"
"Residential Delivery","تحویل درب منزل"
"Response is in the wrong format","پاسخ در فرمت اشتباه است"
"Retail Ground","زمینه خرده فروشی"
"Return","برگشت"
"Same day","همان روز"
"Sample","نمونه"
"Sandbox Mode","حالت سندباکس"
"Secure Gateway URL","URL دروازه امن"
"Secureline","خط امن"
"Sender","فرستنده"
"Service type does not match","نوع خدمات مطابقت ندارد"
"Ship to Applicable Countries","ارسال به کشورهای قابل قبول"
"Ship to Specific Countries","ارسال به کشورهای خاص"
"Shipper Number","شماره‌ی ارسال کننده"
"Show Method if Not Applicable","اگر روش اجرا شدنی نبود، آن را نمایش بده"
"Signature Required","امضا مورد نیاز"
"Size","اندازه"
"Small Express Box","جعبه اکسپرس كوچك"
"Smart Post","ارسال هوشمند"
"Sort Order","ترتيب سفارش"
"Specific","خاص"
"Sprintline","با حداکثر سرعت"
"Station","ایستگاه"
"Subtotal","جمع جز"
"The field is applicable if the Smart Post method is selected.","اگر روش ارسال هوشمند انتخاب شده باشد، این فیلد قابل اجرا است."
"The response is in wrong format.","فرمت پاسخ اشتباه است."
"There is no items in this order","هیچ محصولی در این سفارش وجود ندارد"
"Title","عنوان"
"Tracking XML URL","XML URL پیگیری"
"UPS Expedited","UPS اکسپدایتد"
"UPS Express","UPS اکسپرس"
"UPS Express Box","UPS اکسپرس جعبه"
"UPS Express Early A.M.","UPS اکسپرس ابتدای صبح"
"UPS Express Plus","UPS اکسپرس پلاس"
"UPS Ground","UPS زمینی"
"UPS Letter Envelope","UPS پاکت نامه"
"UPS Next Day Air","UPS روز بعد هوایی"
"UPS Next Day Air Early A.M.","UPS روز بعد هوایی ابتدای صبح"
"UPS Next Day Air Saver","UPS روز بعد هوایی سیور"
"UPS Saver","UPS سیور"
"UPS Second Day Air","UPS روز دوم هوایی"
"UPS Second Day Air A.M.","UPS روز دوم هوایی ابتدای صبح"
"UPS Standard","UPS استاندارد"
"UPS Three-Day Select","UPS انتخاب سه روزه"
"UPS Today Dedicated Courrier","UPS امروز پیک اختصاصی"
"UPS Today Express","UPS امروز اکسپرس"
"UPS Today Express Saver","UPS امروز اکسپرس سیور"
"UPS Today Intercity","UPS امروز بین شهری"
"UPS Today Standard","UPS امروز استاندارد"
"UPS Tube","UPS لوله"
"UPS Type","نوع UPS"
"UPS Worldwide 10 kilo","UPS سراسر جهان 10 کیلو"
"UPS Worldwide 25 kilo","UPS سراسر جهان 25 کیلو"
"UPS Worldwide Expedited","UPS سراسر جهان اکسپدایتد"
"UPS Worldwide Express","UPS سراسر جهان اکسپرس"
"UPS Worldwide Express Plus","UPS سراسر جهان اکسپرس پلاس"
"UPS Worldwide Express PlusSM","UPS سراسر جهان اکسپرس پلاس اس ام"
"UPS Worldwide Saver","UPS در سراسر جهان سیورr"
"USPS GXG Envelopes","USPS GXG پاکت"
"Unable to retrieve tracking","ناتوان در بازیابی کردن پیگیری"
"United Parcel Service","سرویس امانت پستی متحده"
"United Parcel Service XML","XML سرویس امانت پستی متحده"
"User ID","شناسه كاربر"
"Variable","متغیر"
"Weight Unit","واحد وزن"
"Width","عرض"
"Worldwide Expedited","سراسر جهان اکسپدایتد"
"Worldwide Express","سراسر جهان اکسپرس"
"Worldwide Express Letter","سراسر جهان اکسپرس نامه"
"Worldwide Express Plus","سراسر جهان اکسپرس پلاس"
"Worldwide Express Plus Letter","سراسر جهان اکسپرس پلاس نامه"
"Worldwide Express Saver","سراسر جهان اکسپرس سیور"
"Yes","بله"
"Your Packaging","بسته بندی شما"
"cm","سانتی متر"
"inch","اینچ"
