"* Required Fields","* Obavezna polja"
"Month","Mjesec"
"My Account","Moj korisnički račun"
"My Dashboard","Moja nadzorna ploča"
"My Orders","Moje narudžbe"
"Name","Naziv"
"Never","Nikad"
"New Address","Nova adresa"
"New Address Entry","Novi adresni zapis"
"New Customer","Novi korisnik"
"New Customer Address","Nova adresa korisnika"
"New Customer Group","Nova grupa korisnika"
"New Customer Groups","Nove grupe korisnika"
"New Customers","Novi kupci"
"New Group","Nova grupa"
"New Password","Nova lozinka"
"New account","Novi korisnički račun"
"Newsletter","Newsletter Finish"
"Newsletter Finish","Newsletter kraj"
"Newsletter Information","Informacije o newsletter-u"
"Newsletter Received","Stigao je newsletter"
"Newsletter Start","Newsletter početak"
"Newsletter Subscription","Prijava na newsletter"
"Newsletters","Newsletteri"
"No Items Found","Nije nađen niti jedan artikl"
"No Newsletter Found","Nije pronađen niti jedan newsletter"
"Not Sent","Nije poslano"
"Online Customers","Online korisnici"
"Order Total","Ukupno naručeno"
"Orders","Narudžbe"
"Password","Lozinka"
"Password Management","Upravljlanje lozinkama"
"Password Options","Opcije lozinke"
"Password:","Lozinka:"
"Pending","U tijeku:"
"Per Website","Po web stranici"
"Personal Information","Osobni podaci"
"Please enter your email.","Molim, unesite vaš email."
"Please make sure your passwords match.","Molim provjerite podudaraju li se vaše lozinke."
"Please select region, state or province","Molimo odaberite regiju ili županiju"
"Price","Cijena"
"Product","Proizvod"
"Product ID","ID proizvoda"
"Product Name","Naziv proizvoda"
"Product Reviews","Recenzije proizvoda"
"Product Tags","Tagovi proizvoda"
"Purchased On","Naručeno"
"Qty","Kol"
"Recent Orders","Nedavne narudžbe"
"Refunded","Refundirano"
"Register","Registrirajte se"
"Registered Customers","Registrirani korisnici"
"Remove","Ukloni"
"Retrieve your password here","Dohvatite vašu lozinku ovdje"
"Sales Statistics","Statistički podaci o prodaji"
"Save","Spremi"
"Save Address","Spremi adresu"
"Save Customer","Spremi korisnika"
"Save Customer Group","Spremi grupu korisnika"
"Save Password","Spremi lozinku"
"Sending","Šaljem"
"Sent","Poslano"
"Set as Default Billing Address","Postavi kao osnovnu adresu naplate"
"Set as Default Shipping Address","Postavi kao osnovnu adresu isporuke"
"Shipped to First Name","Poslano na ime"
"Shipped to Last Name","Poslano na prezime"
"Shipped to Name","Poslano na naslov"
"Shopping Cart","Košarica"
"Shopping Cart - %d item(s)","Košarica - %d stavki"
"Sign Up for Newsletter","Ulogirajte se za newsletter"
"State/Province","Regija/pokrajina"
"Store","Trgovina"
"Store View","Izlog"
"Street Address","Adresa"
"Subject","Predmet"
"Submit","Potvrdi"
"Subscribe to Newsletter","Prijavite se na newsletter"
"Subscribed to Newsletter?","Prijavljeni na newsletter?"
"Tag Name","Ime tag-a"
"Telephone","Telefon"
"Text One Line","Jedna linija teksta"
"There are no items in customer's wishlist at the moment","Trenutno u korisničkoj listi želja nema artikala"
"There are no items in customer's shopping cart at the moment","Trenutno u korisničkoj košarici nema artikala"
"This customer has no saved addresses.","Ovaj kupac nema upisanih adresa"
"To Cart","U košaricu"
"Total","Ukupno"
"Type","Tip"
"Unknown","Nepoznato"
"Update","Ažuriraj"
"Use as my default billing address","Ažuriraj moju osnovnu adresu za naplatu"
"Use as my default shipping address","Moja osnovna adresa za isporuku"
"View","Pregled"
"View Order","Pregledaj narudžbu"
"Visitor","Posjetitelj"
"Visitors Only","Samo posjetitelji"
"Website","Web stranica"
"Wishlist","Lista želja"
"Wishlist - %d item(s)","Lista želja - %d artikala"
"Year","Godina"
"You are currently not subscribed to any newsletter.","Niste na listi pretplatnika za newsletter"
"You are currently subscribed to 'General Subscription'.","Trenutno ste na listi pretplatnika"
"You are currently subscribed to our newsletter.","Trenutno ste na listi pretplatnika za naš newsletter."
"You have no additional address entries in your address book.","Nemate dodatnih zapisa o adresi u vašem imeniku."
"You have no additional entries in your address book.","Nemate dodatnih zapisa u vašem imeniku."
"You have no default billing address in your address book.","Nemate osnovnu adresu naplate u vašem imeniku."
"You have no default shipping address in your address book.","Nemate osnovnu adresu isporuke u vašem imeniku."
"You have placed no orders yet.","Još uvijek nemate narudžbi."
"Your account balance is: %s","Stanje na vašem korisničkom računu je: %s"
"ZIP","Poštanski broj"
"ZIP/Post Code","Poštanski broj"
"Zip/Postal Code","Poštanski broj"
