"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"Confirm New Password","ಹೊಸ ಗುಪ್ತಪದವನ್ನು ಖಚಿತಪಡಿಸಿ"
"Confirmed email:","ದೃಢೀಕರಿಸಿದ ಮಿಂಚೆ:"
"Continue","ಮುಂದುವರೆಯಿರಿ"
"Country","ದೇಶ"
"Country:","ದೇಶ:"
"Coupons","ಕೂಪನ್ ಗಳು"
"Create","ರಚಿಸಿ"
"Create DB Backup","DB ಬ್ಯಾಕಪ್ ರಚಿಸಿ"
"Create New Attribute","ಹೊಸ ಗುಣವಿಶೇಷವನ್ನು ರಚಿಸಿ"
"Created At","ರಚಿಸಿದ ದಿನಾಂಕ"
"Credit Card Number","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆ"
"Credit Card Type","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧ"
"Currency","ಕರೆನ್ಸಿ"
"Current Month","ಪ್ರಸ್ತುತ ತಿಂಗಳು"
"Custom","ಒಗ್ಗಿಸಿದ"
"Customer","ಗ್ರಾಹಕರು"
"Customer Group:","ಗ್ರಾಹಕರ ಗುಂಪು:"
"Customer Groups","ಗ್ರಾಹಕರ ಗುಂಪುಗಳು"
"Customer Name","ಗ್ರಾಹಕರ ಹೆಸರು"
"Customer Reviews","ಗ್ರಾಹಕರ ವಿಮರ್ಶೆಗಳು"
"Customers","ಗ್ರಾಹಕರು"
"Database","ಡೇಟಾಬೇಸ್"
"Date","ದಿನಾಂಕ"
"Date & Time","ದಿನಾಂಕ & ಸಮಯ"
"Date Added","ಸೇರಿಸಿದ ದಿನಾಂಕ"
"Day","ದಿನ"
"Default Billing Address","ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ"
"Default Values","ನಿಯೋಜಿತ ನಮೂದುಗಳು"
"Delete","ಅಳಿಸಿ"
"Delete Block","ಬ್ಲಾಕ್‍ ಅನ್ನು ಅಳಿಸಿ"
"Delete File","ಕಡತ ಅಳಿಸಿ"
"Delete Image","ಚಿತ್ರ ಅಳಿಸಿ"
"Delete Role","ಹುದ್ದೆಯನ್ನು ಅಳಿಸಿ"
"Delete Store","ಮಳಿಗೆ ಅಳಿಸಿ"
"Delete Store View","ಮಳಿಗೆ ನೋಟ ಅಳಿಸಿ"
"Delete Template","ಮಾದರಿಯನ್ನು ಅಳಿಸಿ"
"Delete User","ಬಳಕೆದಾರರನ್ನು ಅಳಿಸಿ"
"Description","ವಿವರಣೆ"
"Design","ವಿನ್ಯಾಸ"
"Design Section","ವಿನ್ಯಾಸ ವಿಭಾಗ"
"Details","ವಿವರಗಳು"
"Disable","ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ"
"Disabled","ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ"
"Download","ಡೌನ್‍ಲೋಡ್"
"Downloads","ಇಳಿಕೆಗಳು"
"Edit","ಸಂಪಾದಿಸಿ"
"Edit Block","ಬ್ಲಾಕ್ ಅನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Design Change","ವಿನ್ಯಾಸ ಬದಲಾವಣೆ ಸಂಪಾದಿಸಿ"
"Edit Email Template","ಮಿಂಚೆಯ ಮಾದರಿ ಸಂಪಾದಿಸಿ"
"Edit Order","ವ್ಯಾಪಾರಾದೇಶ ಸಂಪಾದಿಸಿ"
"Edit Review","ವಿಮರ್ಶೆಯನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Role","ಹುದ್ದೆಯನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Store View","ಮಳಿಗೆ ನೋಟ ಸಂಪಾದಿಸಿ"
"Edit Template","ಮಾದರಿಯನ್ನು ಸಂಪಾದಿಸಿ"
"Edit User","ಬಳಕೆದಾರರನ್ನು ಸಂಪಾದಿಸಿ"
"Email","ಮಿಂಚೆ"
"Email Address:","ಮಿಂಚೆ ವಿಳಾಸ:"
"Email to a Friend","ಗೆಳೆಯನಿಗೆ ಮಿಂಚೆ ಕಳಿಸಿ"
"Email:","ಮಿಂಚೆ:"
"Enable","ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Error","ದೋಷ"
"Excl. Tax","ತೆರಿಗೆ ರಹಿತ"
"Exclude media folder from backup","ಬ್ಯಾಕಪ್‍ನಿಂದ ಮಾಧ್ಯಮ ಫೋಲ್ಡರ್ ಅನ್ನು ಹೊರಗಿಡಿ"
"Expiration Date","ಅವಧಿ ಅಂತ್ಯದ ದಿನಾಂಕ"
"Export","ರಫ್ತು"
"Export CSV","CSV ರಫ್ತುಮಾಡಿ"
"Export to:","ಇಲ್ಲಿಗೆ ರಫ್ತುಮಾಡಿ:"
"FTP Login","FTP ಲಾಗಿನ್"
"FTP Password","FTP ಗುಪ್ತಪದ"
"Failed","ವಿಫಲಗೊಂಡಿದೆ"
"File","ಕಡತ"
"File System","ಕಡತ ವ್ಯವಸ್ಥೆ"
"First Name","ಮೊದಲ ಹೆಸರು"
"First Name:","ಮೊದಲ ಹೆಸರು:"
"Fixed","ಸ್ಥಿರ"
"Forgot your password?","ಗುಪ್ತಪದ ಮರೆತಿರುವಿರಾ?"
"From","ಇಂದ"
"General Information","ಸಾಮಾನ್ಯ ಮಾಹಿತಿ"
"General Section","ಸಾಮಾನ್ಯ ವಿಭಾಗ"
"Go Today","ಇಂದಿನ ದಿನಕ್ಕೆ ತೆರಳಿ"
"Grand Total","ಒಟ್ಟು ಮೊತ್ತ"
"Grid (default) / List","ಗ್ರಿಡ್ (ನಿಯೋಜಿತ) / ಪಟ್ಟಿ"
"Grid Only","ಗ್ರಿಡ್ ಮಾತ್ರ"
"Guest","ಅತಿಥಿ"
"Home","ಮುಖಪುಟ"
"IP Address","IP ವಿಳಾಸ"
"Images (.gif, .jpg, .png)","ಚಿತ್ರಗಳು (.gif, .jpg, .png)"
"Import","ಆಮದು"
"Import Service","ಆಮದು ಸೇವೆ"
"Import and Export Tax Rates","ಆಮದು ಮತ್ತು ರಫ್ತು ತೆರಿಗೆ ದರಗಳು"
"Import/Export","ಆಮದು/ರಫ್ತು"
"Important: ","ಪ್ರಮುಖವಾದ: "
"Inactive","ನಿಷ್ಕ್ರಿಯ"
"Incl. Tax","ತೆರಿಗೆ ಸಹಿತ"
"Incoming Message","ಒಳಬರುವ ಸಂದೇಶ"
"Invalid data","ಅಸಿಂಧುವಾದ ದತ್ತಾಂಶ"
"Is Default","ಪೂರ್ವನಿಯೋಜಿತ"
"Issue Number","ಇಶ್ಯೂ ಸಂಖ್ಯೆ"
"Items","ವಸ್ತುಗಳು"
"Last 24 Hours","ಕೊನೆಯ 24 ಗಂಟೆಗಳು"
"Last 7 Days","ಕೊನೆಯ 7 ದಿನಗಳು"
"Last Logged In:","ಕೊನೆಯದಾಗಿ ಲಾಗಿನ್ ಆಗಿದ್ದು:"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"Last Name:","ಕೊನೆಯ ಹೆಸರು:"
"Lifetime Sales","ಆಜೀವ ಪರ್ಯಂತ ಮಾರಾಟ"
"Links","ಕೊಂಡಿಗಳು"
"List (default) / Grid","ಪಟ್ಟಿ (ನಿಯೋಜಿತ) / ಗ್ರಿಡ್"
"List Only","ಪಟ್ಟಿ ಮಾತ್ರ"
"Loading...","ಸಜ್ಜುಗೊಳಿಸಲಾಗುತ್ತಿದೆ..."
"Local Server","ಸ್ಥಳೀಯ ಸರ್ವರ್"
"Locale","‍ಸ್ಥಳೀಯ"
"Login","ಲಾಗಿನ್"
"Manage Categories","ವಿಭಾಗಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Manage Currency Rates","ಕರೆನ್ಸಿ ದರಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Manage Customers","ಗ್ರಾಹಕರನ್ನು ನಿರ್ವಹಿಸಿ"
"Manage Stores","ಮಳಿಗೆಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Manage Tax Rules","ತೆರಿಗೆ ನಿಯಮಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Manage Titles (Size, Color, etc.)","ಶೀರ್ಷಿಕೆಗಳನ್ನು ನಿರ್ವಹಿಸಿ (ಗಾತ್ರ, ಬಣ್ಣ, ಇತ್ಯಾದಿ)"
"Media (.avi, .flv, .swf)","ಮಾಧ್ಯಮ (.avi, .flv, .swf)"
"Messages Inbox","ಸಂದೇಶಗಳ ಇನ್‍ಬಾಕ್ಸ್"
"Month","ತಿಂಗಳು"
"Most Viewed","ಹೆಚ್ಚು ವೀಕ್ಷಿಸಿದ"
"Most Viewed Products","ಹೆಚ್ಚು ವೀಕ್ಷಿಸಿದ ಉತ್ಪನ್ನಗಳು"
"Multiple Select","ಬಹುಆಯ್ಕೆ"
"My Account","ನನ್ನ ಖಾತೆ"
"Name","ಹೆಸರು"
"New ","ಹೊಸತು "
"New Accounts","ಹೊಸ ಖಾತೆಗಳು"
"New Attribute","ಹೊಸ ಗುಣವಿಶೇಷ"
"New Block","ಹೊಸ ಬ್ಲಾಕ್"
"New Category","ಹೊಸ ವಿಭಾಗ"
"New Condition","ಹೊಸ ನಿಬಂಧನೆ"
"New Customer","ಹೊಸ ಗ್ರಾಹಕರು"
"New Customers","ಹೊಸ ಗ್ರಾಹಕರು"
"New Email Template","ಹೊಸ ಮಿಂಚೆಯ ಮಾದರಿ"
"New Group","ಹೊಸ ಗುಂಪು"
"New Page","ಹೊಸ ಪುಟ"
"New Password","ಹೊಸ ಗುಪ್ತಪದ"
"New Review","ಹೊಸ ವಿಮರ್ಶೆ"
"New Role","ಹೊಸ ಹುದ್ದೆ"
"New Rule","ಹೊಸ ನಿಯಮ"
"New Search","ಹೊಸ ಹುಡುಕಾಟ"
"New Shipment","ಹೊಸ ರವಾನೆ"
"New Store View","ಹೊಸ ಮಳಿಗೆ ನೋಟ"
"New Template","ಹೊಸ ಮಾದರಿ"
"New User","ಹೊಸ ಬಳಕೆದಾರರು"
"Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆ"
"Newsletter Subscribers","ಸುದ್ದಿಪತ್ರಿಕೆ ಚಂದಾದಾರರು"
"Newsletter Templates","ಸುದ್ದಿಪತ್ರಿಕೆ ಮಾದರಿಗಳು"
"No","ಇಲ್ಲ"
"No (price without tax)","ಇಲ್ಲ (ದರ ತೆರಿಗೆ ರಹಿತ)"
"No Data","ದತ್ತಾಂಶವಿಲ್ಲ"
"No Data Found","ಯಾವುದೇ ದತ್ತಾಂಶ ಕಂಡುಬಂದಿಲ್ಲ"
"No change","ಯಾವುದೇ ಬದಲಾವಣೆ ಇಲ್ಲ"
"No records found.","ಯಾವುದೇ ದಾಖಲೆಗಳು ಕಂಡುಬಂದಿಲ್ಲ."
"None","ಯಾವುದೂ ಇಲ್ಲ"
"Note:","ಟಿಪ್ಪಣಿ:"
"Notifications","ಅಧಿಸೂಚನೆಗಳು"
"Number of Orders","ವ್ಯಾಪಾರಾದೇಶದ ಸಂಖ್ಯೆ"
"Number of Uses","ಬಳಸಿದ ಸಂಖ್ಯೆ"
"OK","ಓಕೆ"
"Old rate:","ಹಳೆಯ ದರ:"
"Online Customers","ಆನ್‍‍‍‍‍‍ಲೈನ್ ಗ್ರಾಹಕರು"
"Optional","ಐಚ್ಛಿಕ"
"Options","ಆಯ್ಕೆಗಳು"
"Order","ವ್ಯಾಪಾರಾದೇಶ"
"Order ID","ವ್ಯಾಪಾರಾದೇಶ ID"
"Orders","ವ್ಯಾಪಾರಾದೇಶಗಳು"
"Out of stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"Pages","ಪುಟಗಳು"
"Password","ಗುಪ್ತಪದ"
"Password Confirmation","ಗುಪ್ತಪದದ ದೃಢೀಕರಣ"
"Password:","ಗುಪ್ತಪದ:"
"Per Item","ಪ್ರತಿ ವಸ್ತುವಿಗೆ"
"Per Order","ಪ್ರತಿ ವ್ಯಾಪಾರಾದೇಶಕ್ಕೆ"
"Percent","ಶೇಕಡ"
"Permanent (301)","ಶಾಶ್ವತ (301)"
"Permissions","ಅನುಮತಿಗಳು"
"Personal Information","ವೈಯಕ್ತಿಕ ಮಾಹಿತಿ"
"Please Select","ದಯವಿಟ್ಟು ಆರಿಸಿ"
"Please enter a number greater than 0 in this field.","ದಯವಿಟ್ಟು 0 ಗಿಂತ ಹೆಚ್ಚಿನ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"Please enter a valid $ amount. For example $100.00.","ದಯವಿಟ್ಟು ಸರಿಯಾದ $ ಮೊತ್ತವನ್ನು ನಮೂದಿಸಿ. ಉದಾಹರಣೆಗೆ $100.00."
"Please enter a valid credit card number.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid date.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ದಿನಾಂಕವನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid email.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid number in this field.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ದೂರವಾಣಿ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ. ಉದಾ (123) 456-7890 ಅಥವಾ 123-456-7890."
"Please enter a valid value from list","ದಯವಿಟ್ಟು ಪಟ್ಟಿಯಲ್ಲಿನ ಒಂದು ಆಯ್ಕೆಯನ್ನು ಆರಿಸಿ"
"Please enter a valid value, ex: 10,20,30","ದಯವಿಟ್ಟು ಮಾನ್ಯವಾದ ಅಂಕೆಯೊಂದನ್ನು ನಮೂದಿಸಿ: ಉದಾ: 10,20,30"
"Please enter a valid zip code.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಪಿನ್ ಕೋಡ್ ಅನ್ನು ನಮೂದಿಸಿ."
"Please make sure your passwords match.","ದಯವಿಟ್ಟು ನಿಮ್ಮ ಗುಪ್ತಪದಗಳು ಹೊಂದುವಂತೆ ನೋಡಿಕೊಳ್ಳಿ."
"Please select State/Province.","ದಯವಿಟ್ಟು ರಾಜ್ಯ ವನ್ನು ಆರಿಸಿಕೊಳ್ಳಿ."
"Please select an option.","ದಯವಿಟ್ಟು ಒಂದು ಆಯ್ಕೆಯನ್ನು ಆರಿಸಿ."
"Please select customer(s).","ದಯವಿಟ್ಟು ಗ್ರಾಹಕರನ್ನು ಆರಿಸಿ."
"Please select one of the options.","ದಯವಿಟ್ಟು ಈ ಆಯ್ಕೆಗಳಲ್ಲಿ ಒಂದನ್ನು ಆಯ್ಕೆ ಮಾಡಿ."
"Please select review(s).","ದಯವಿಟ್ಟು ವಿಮರ್ಶೆ(ಗಳ) ನ್ನು ಆರಿಸಿ."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","ದಯವಿಟ್ಟು ಅಕ್ಷರಗಳು(a-z or A-Z), ಅಂಕೆಗಳು(0-9) ಅಥವಾ ಖಾಲಿಜಾಗಗಳನ್ನು ಮಾತ್ರ ಈ ವಲಯದಲ್ಲಿ ಬಳಸಿ."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","ದಯವಿಟ್ಟು ಈ ದಿನಾಂಕದ ಮಾದರಿಯನ್ನು ಬಳಸಿ: dd/mm/yyyy. ಉದಾಹರಣೆಗೆ 17ನೇ ಮಾರ್ಚ್, 2006 ಗೆ 17/03/2006."
"Please wait...","ದಯವಿಟ್ಟು ಕಾಯಿರಿ..."
"Position","ಸ್ಥಾನ"
"Preview","ಮುನ್ನೋಟ"
"Preview Template","ಮುನ್ನೋಟ ಮಾದರಿ"
"Price","ದರ"
"Price:","ದರ:"
"Processing","ಸಂಸ್ಕರಣೆಗೊಳ್ಳುತ್ತಿದೆ"
"Product","ಉತ್ಪನ್ನ"
"Product Name","ಉತ್ಪನ್ನದ ಹೆಸರು"
"Product Reviews","ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆಗಳು"
"Product:","ಉತ್ಪನ್ನ:"
"Products","ಉತ್ಪನ್ನಗಳು"
"Products Ordered","ವ್ಯಾಪಾರಾದೇಶಿಸಿದ ಉತ್ಪನ್ನಗಳು"
"Promo","ಜಾಹೀರಾತು"
"Promotions","ಜಾಹೀರಾತುಗಳು"
"Quantity","ಪರಿಮಾಣ"
"Radio Buttons","ರೇಡಿಯೊ ಗುಂಡಿಗಳು"
"Refresh","ತಾಜಾಗೊಳಿಸು"
"Region/State","ರಾಜ್ಯ"
"Reload captcha","ಕ್ಯಾಪ್ಚಾ ವನ್ನು ಮರುತುಂಬಿಸಿ"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Reports","ವರದಿಗಳು"
"Required","ಅಗತ್ಯವಿದೆ"
"Reset","ಮರುಹೊಂದಿಸಿ"
"Reset Password","ಗುಪ್ತಪದವನ್ನು ಮರುಹೊಂದಿಸಿ"
"Reset a Password","ಗುಪ್ತಪದವನ್ನು ಮರುಹೊಂದಿಸಿ"
"Resources","ಸಂಪನ್ಮೂಲಗಳು"
"Results","ಫಲಿತಾಂಶಗಳು"
"Retrieve Password","ಗುಪ್ತಪದವನ್ನು ಮರುಪಡೆಯಿರಿ"
"Revenue","ಆದಾಯ"
"Reviews","ವಿಮರ್ಶೆಗಳು"
"Role Info","ಹುದ್ದೆಯ ವಿವರ"
"Role Information","ಹುದ್ದೆಯ ಮಾಹಿತಿ"
"Role Name","ಹುದ್ದೆಯ ಹೆಸರು"
"Role Resources","ಹುದ್ದೆ ಸಂಪನ್ಮೂಲಗಳು"
"Role Users","ಹುದ್ದೆ ಬಳಕೆದಾರರು"
"Roles","ಹುದ್ದೆಗಳು"
"Roles Resources","ಹುದ್ದೆ ಸಂಪನ್ಮೂಲಗಳು"
"Root Category","ಮೂಲ ವಿಭಾಗ"
"Run","ಓಡಿ"
"Sales","ವ್ಯಾಪಾರಗಳು"
"Samples","ನಮೂನೆಗಳು"
"Save","ಉಳಿಸಿ"
"Save & Generate","ಉಳಿಸಿ & ಉತ್ಪಾದಿಸಿ"
"Save Account","ಖಾತೆಯನ್ನು ಉಳಿಸಿ"
"Save Currency Rates","ಕರೆನ್ಸಿ ದರಗಳನ್ನು ಉಳಿಸಿ"
"Save Role","ಹುದ್ದೆಯನ್ನು ಉಳಿಸಿ"
"Save Template","ಮಾದರಿಯನ್ನು ಉಳಿಸಿ"
"Save User","ಬಳಕೆದಾರರನ್ನು ಉಳಿಸಿ"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Search","ಹುಡುಕಿ"
"Search Terms","ಪದಗಳನ್ನು ಹುಡುಕಿ"
"Select","ಆಯ್ಕೆಮಾಡಿ"
"Select All","ಎಲ್ಲವನ್ನೂ ಆರಿಸಿ"
"Select Category","ವಿಭಾಗವನ್ನು ಆರಿಸಿ"
"Select Date","ದಿನಾಂಕ ಆರಿಸಿ"
"Sender","ರವಾನೆದಾರ"
"Shipment Comments","ರವಾನೆ ಅಭಿಪ್ರಾಯಗಳು"
"Shipment History","ರವಾನೆ ಚರಿತ್ರೆ"
"Shipments","ರವಾನೆಗಳು"
"Shipping","ರವಾನೆ"
"Shipping Address","ರವಾನೆ ವಿಳಾಸ"
"Shipping Address: ","ರವಾನೆ ವಿಳಾಸ: "
"Shipping Price","ರವಾನೆ ದರ"
"Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ"
"Specific Countries","ನಿರ್ದಿಷ್ಟ ರಾಷ್ಟ್ರಗಳು"
"Specified","ಸೂಚಿತ"
"Start Date","ಪ್ರಾರಂಭದ ದಿನಾಂಕ"
"State/Province:","ರಾಜ್ಯ:"
"Static Blocks","ಸ್ಥಿರ ಬ್ಲಾಕ್‍ಗಳು"
"Status","ಸ್ಥಿತಿ"
"Status:","ಸ್ಟೇಟಸ್:"
"Store","ಮಳಿಗೆ"
"Store Email Addresses Section","ಮಳಿಗೆ ಮಿಂಚೆ ವಿಳಾಸಗಳ ವಿಭಾಗ"
"Store View","ಮಳಿಗೆ ನೋಟ"
"Store:","ಮಳಿಗೆ:"
"Stores","ಮಳಿಗೆಗಳು"
"Subject","ವಿಷಯ"
"Submit","ಸಲ್ಲಿಸಿ"
"Subtotal","ಉಪಮೊತ್ತ"
"System","ವ್ಯವಸ್ಥೆ"
"System Section","ವ್ಯವಸ್ಥೆ ವಿಭಾಗ"
"Tags","ಟ್ಯಾಗ್‌ಗಳು"
"Tax","ತೆರಿಗೆ"
"Template","ಮಾದರಿ"
"Template Information","ಮಾದರಿ ಮಾಹಿತಿ"
"Template Name","ಮಾದರಿಯ ಹೆಸರು"
"Template Styles","ಮಾದರಿಯ ಶೈಲಿಗಳು"
"Template Type","ಮಾದರಿಯ ವಿಧ"
"Temporary (302)","ತಾತ್ಕಾಲಿಕ (302)"
"Terms and Conditions","ನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳು"
"Text","ಪಠ್ಯ"
"The order no longer exists.","ಈ ವ್ಯಾಪಾರಾದೇಶವು ಈಗ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದಿಲ್ಲ."
"This account is","ಈ ಖಾತೆಯು"
"This action cannot be undone.","ಈ ಕಾರ್ಯವನ್ನು ರದ್ದುಗೊಳಿಸಲು ಸಾಧ್ಯವಿರುವುದಿಲ್ಲ."
"This block no longer exists.","ಈ ಬ್ಲಾಕ್ ಈಗ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದಿಲ್ಲ."
"This is a required field.","ಇದು ಅಗತ್ಯವಿರುವ ವಲಯ."
