"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"View Order","ವ್ಯಾಪಾರಾದೇಶ ವೀಕ್ಷಿಸಿ"
"Website","ಜಾಲ ತಾಣ"
"Weight","ತೂಕ"
"Width","ಅಗಲ"
"Wishlist","ಇಚ್ಛಾಪಟ್ಟಿ"
"Yes","ಹೌದು"
"You will be redirected to the payment system website.","ನಿಮ್ಮನ್ನು ಪಾವತಿ ವ್ಯವಸ್ಥೆ ಜಾಲತಾಣಕ್ಕೆ ಮರುನಿರ್ದೇಶಿಸಲಾಗುವುದು."
"ZIP/Post Code","ಪಿನ್ ಕೋಡ್"
"Zip/Postal Code","ಪಿನ್ ಕೋಡ್"
"cm","ಸೆಮಿ"
"in","ಇಂಚು"
"kg","ಕೆಜಿ"
