"ACH Withdrawal","ACH ಹಿಂಪಡೆಯುವಿಕೆ"
"Shipping Information","ರವಾನೆ ಮಾಹಿತಿ"
"Shipping Method","ಸಾಗಾಣಿಕೆ ವಿಧಾನ"
"Shortcut","ಶಾರ್ಟ್‍ಕಟ್"
"Size","ಗಾತ್ರ"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"State/Province","ರಾಜ್ಯ"
"Static","ಸ್ಥಿರ"
"Street Address","ಬೀದಿ ವಿಳಾಸ"
"Submitting order information...","ವ್ಯಾಪಾರಾದೇಶದ ಮಾಹಿತಿಯನ್ನು ಸಲ್ಲಿಸಲಾಗುತ್ತಿದೆ..."
"Subtotal","ಉಪಮೊತ್ತ"
"Test Mode","ಪರೀಕ್ಷಾ ಕ್ರಮ"
"Time of Day","ದಿನದ ಸಮಯ"
"Title","ಶೀರ್ಷಿಕೆ"
"Transaction ID","ವಹಿವಾಟಿನ ID"
"Transaction Information","ವ್ಯವಹಾರದ ಮಾಹಿತಿ"
"User","ಬಳಕೆದಾರರು"
"VAT Number","VAT ಸಂಖ್ಯೆ"
"View","ನೋಟ"
"View Demo","ಡೆಮೋ ವೀಕ್ಶಿಸಿ"
"View Transaction","ವಹಿವಾಟನ್ನು ವೀಕ್ಷಿಸಿ"
"View Transaction Details","ವ್ಯವಹಾರದ ವಿವರಗಳನ್ನು ವೀಕ್ಶಿಸಿ"
"Yes","ಹೌದು"
"Yes (PayPal recommends this option)","ಹೌದು (PayPal ಈ ಆಯ್ಕೆಯನ್ನು ಶಿಫಾರಸ್ಸು ಮಾಡುತ್ತದೆ)"
"You will be redirected to the PayPal website.","ನಿಮ್ಮನ್ನು PayPal ಜಾಲತಾಣಕ್ಕೆ ಮರುನಿರ್ದೇಶಿಸಲಾಗುವುದು."
"Zip/Postal Code","ಪಿನ್ ಕೋಡ್"
