"1 Day Freight","الشحن بيوم واحد"
"Package","الحزمة"
"Packaging","التغليف"
"Parcel","طرد"
"Password","كلمة المرور"
"Pounds","جنيهات"
"Priority Mail","البريد الالكتروني الاولي"
"Priority Mail Express","أولوية البريد السريع"
"Priority Mail Express Flat Rate Envelope","الأولوية البريد معدل ثابت صريح مغلف"
"Priority Mail Express Hold For Pickup","الأولوية البريد عقد صريح بيك آب"
"Priority Overnight","اولوية الليل"
"Rectangular","مستطيل"
"Regular","عادي"
"Regular Pickup","التقاط عادي"
"Request Courier","طلب الساعي"
"Required","مطلوب"
"Response is in the wrong format","الاستجابة بشكل خاطئ"
"Retail Ground","أرض البيع بالتجزئة"
"Return","إرجاع"
"Same day","في اليوم نفسه"
"Sample","عينة"
"Secureline","الخط الآمن"
"Sender","المرسل"
"Shipper Number","رقم الشاحن"
"Size","الحجم"
"Smart Post","الموقع الذكي"
"Sort Order","الترتيب"
"Specific","محددة"
"Standard Overnight","الموحدة بين عشية وضحاها"
"Station","محطة"
"Subtotal","الإجمالي"
"The response is in wrong format.","أن الرد بتنسيق غير صحيح."
"There is no items in this order","لا يوجد أي منتج في هذا الطلب"
"Title","العنوان"
"Tracking XML URL","متابعة XML الموقع"
"UPS Expedited","UPS مستعجل"
"UPS Express","UPS السريع"
"UPS Express Early A.M.","UPS الشحن السريع توصيل الصباح."
"UPS Express Plus","UPS السريع (متقدم)"
"UPS Ground","شحن ارضي UPS"
"UPS Next Day Air","الشحن في اليوم التالي عن طريق الجو UPS"
"UPS Next Day Air Early A.M.","شحن في اليوم التالي صباحاً عن طريق الجو UPS."
"UPS Next Day Air Saver","الشحن في اليوم التالي عن طريق الجو UPS"
"UPS Saver","UPS الإدخار"
"UPS Second Day Air","الشحن في اليوم التالي عن طريق الجو UPS"
"UPS Standard","UPS عادي"
"UPS Today Dedicated Courrier","UPS شحن مستقل اليوم"
"UPS Today Express","خدمة اليوم UPS إكسبريس"
"UPS Today Express Saver","خدمة اليوم إكسبريس التوفيرية من UPS"
"UPS Today Standard","خدمة اليوم من UPS"
"UPS Worldwide 10 kilo","يو بي إس دولي 10 كيلو"
"UPS Worldwide 25 kilo","يو بي إس دولي 25 كيلو"
"UPS Worldwide Expedited","الشحن العالمي المستعجل UPS"
"UPS Worldwide Express","الشحن العالمي السريع UPS"
"UPS Worldwide Express Plus","UPS الدولي Express Plus"
"UPS Worldwide Express PlusSM","الشحن العالمي السريع (متقدم) UPS"
"Unable to retrieve tracking","غير قادر على استرداد التعقب"
"United Parcel Service","خدمة الطرود المتحدة"
"United Parcel Service XML","خدمة الطرود المتحدة XML"
"User ID","رمز التعريفي للمستخدم"
"Variable","متغير"
"Weight Unit","وحدة الوزن"
"Width","العرض"
"Yes","نعم"
"cm","سم"
"inch","بوصة"
