"* Required Fields","* Påkrævede felter"
"Customer Addresses","Kundeadresser"
"Customer Configuration","Kunde Konfiguration"
"Customer Group","Kundegruppe"
"Customer Groups","Kundegrupper"
"Customer Information","Kundeoplysninger"
"Customer Login","Log-ind"
"Customer Since","Kunde siden"
"Customer View","Kunde visning"
"Customer will stay on the current page if ""No"" is selected.","Kunden vil blive på den aktuelle side, hvis ""Nej"" er valgt."
"Customers","Kunder"
"Customers Only","Kun for kunder"
"Customers Section","Kunder Sektion"
"Date","Dato"
"Date Added","Dato tilføjet"
"Date of Birth","Fødselsdag"
"Day","Dag"
"Days in Wishlist","Antal dage på ønskeseddel"
"Default Addresses","Standard adresser"
"Default Billing Address","Standard faktureringsadresse"
"Default Email Domain","Standard Email Domæne"
"Default Group","Standard Gruppe"
"Default Shipping Address","Standard leveringsadresse"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standardværdi for Deaktivér automatisk gruppeændringer baseret på momsID"
"Default Welcome Email","Standard Velkomst E-Mail"
"Delete","Slet"
"Delete Address","Slet adresse"
"Delete Customer","Slet kunde"
"Delete Customer Group","Slet kundegruppe"
"Delete customer","Slet kunde"
"Delete customer address","Slet kundeadresse"
"Deleted Stores","Fjernet forretninger"
"Details","Detaljer"
"Disabled","Slået fra"
"Edit","Redigér"
"Edit Account Info","Rediger kontoinfo"
"Edit Account Information","Rediger kontooplysninger"
"Edit Address","Rediger adresse"
"Edit Address Entry","Rediger adresse"
"Edit Customer Group ""%s""","Rediger kundegruppe ""%s"""
"Edit Customer Groups","Rediger kundegruppe"
"Edit Customer's Address","Rediger kundens adresse"
"Edit Group","Ret gruppe"
"Edit Newsletters","Rediger nyhedsbreve"
"Email","E-mail"
"Email Address","E-mail adresse"
"Email Sender","E-mail afsender"
"Email:","E-mail:"
"Enable Automatic Assignment to Customer Group","Aktiver automatisk tildeling til kundegruppe"
"Failed to confirm customer account.","Bekræftelse af kundekonto mislykkedes."
"Fax","Faxnummer"
"First Name","Fornavn"
"Forgot Email Template","Glemt Email Skabelon"
"Forgot Your Password?","Glemt din adgangskode?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","I kontooversigten kan du se de seneste bevægelser og opdatere din kontoinformation. Vælg et link nedenfor for at se eller ændre information."
"Gender","Køn"
"General Subscription","Generel abonnement"
"Generate Human-Friendly Customer ID","Generer Human-Friendly Kunde ID"
"Global","Globalt"
"Group","Gruppe"
"Group Information","Gruppeoplysninger"
"Group Name","Gruppenavn"
"Group for Invalid VAT ID","Gruppe for ugyldigt momsnummer"
"Group for Valid VAT ID - Domestic","Gruppe for gyldigt momsnummer - Indenlandsk"
"Group for Valid VAT ID - Intra-Union","Gruppe for gyldigt momsnummer - Intra-Union"
"Guest","Gæst"
"Hello, %s!","Velkommen %s!"
"IP Address","IP-adresse"
"If you have an account with us, please log in.","Har du allerede en konto hos os, kan du logge på her."
"Invalid current password","Nuværende kodeord er ugyldigt"
"Invalid customer data","Ugyldig kundedata"
"Invalid login or password.","Ugyldig login eller adgangskode."
"Last Activity","Sidste aktivitet"
"Last Date Subscribed","Seneste Dato Abonneret"
"Last Date Unsubscribed","Sidste Dato Afmeldt"
"Last Name","Efternavn"
"Leave empty for default (15 minutes).","Efterlad blank for standard (15 minutter)."
"Leave empty for default (2). Valid range: 1-4","Udfyld ikke for standardværdi (2). Gyldigt interval: 1-4"
"Lifetime Sales","Totalt salg"
"Log In","Log ind"
"Log Out","Log ud"
"Login","Log ind"
"Login Information","Log-ind information"
"Login Options","Log Ind Indstillinger"
"Login or Create an Account","Log ind eller opret konto"
"Manage Addresses","Administrer adresser"
"Manage Customers","Administrer kunder"
"Month","Måned"
"My Account","Min Konto"
"My Dashboard","Min oversigt"
"My Orders","Mine ordrer"
"Name","Navn"
"Name and Address Options","Navn og adresse indstillinger"
"Never","Aldrig"
"New Address","Ny adresse"
"New Address Entry","Indtast ny adresse"
"New Customer","Ny kunde"
"New Customer Address","Ny kundeadresse"
"New Customer Group","Ny kundegruppe"
"New Customer Groups","Nye kundegrupper"
"New Customers","Nye kunder"
"New Group","Ny gruppe"
"New Password","Ny adgangskode"
"New account","Ny konto"
"New account confirmation key","Bekræftelsesnøgle for ny konto"
"New account confirmed","Ny konto bekræftet"
"Newsletter","Nyhedsbrev"
"Newsletter Finish","Nyhedsbrev - slut"
"Newsletter Information","Oplysnigner om nyhedsbrevet"
"Newsletter Received","Har modtaget nyhedsbrev"
"Newsletter Start","Nyhedsbrev - start"
"Newsletter Subscription","Nyhedsbrev abonnement"
"Newsletters","Nyhedsbreve"
"No Items Found","Ingen emner fundet"
"No Newsletter Found","Intet nyhedsbrev fundet"
"No item specified.","Ingen vare angivet."
"Not Sent","Ikke sendt"
"Not confirmed, can login","Ikke bekræftet, kan logge ind"
"Not confirmed, cannot login","Ikke bekræftet, kan ikke logge ind"
"Online Customers","Online kunder"
"Online Customers Options","Online Kunder Indstillinger"
"Online Minutes Interval","Interval For Online Minutter"
"Order #","Ordre #"
"Order Total","Ordretotal"
"Orders","Ordrer"
"Password","Kodeord"
"Password Management","Administrer kodeord"
"Password Options","Indstillinger for adgangskode"
"Password forgotten","Glemt adgangskode"
"Password:","Adgangskode:"
"Paused","På pause"
"Pending","Afventer"
"Per Website","Pr. Hjemmeside"
"Personal Information","Personlig informationer"
"Please enter a number 1 or greater in this field.","Indtast 1 eller større i dette felt."
"Please enter the city.","Indtast byen."
"Please enter the country.","Angiv land."
"Please enter the first name.","Angiv fornavn."
"Please enter the last name.","Angiv efternavnet."
"Please enter the state/province.","Angiv stat/region."
"Please enter the street.","Angiv gaden."
"Please enter the zip/postal code.","Angiv postnummeret."
"Please enter your email below and we'll send you confirmation link for it.","Skriv din e-mail-adresse nedenfor, så sender vi dig et bekræftelseslink."
"Please enter your email.","Indtast venligst din e-mail."
"Please make sure your passwords match.","Kontroller at dine adgangskoder stemmer overens."
"Please select region, state or province","Vælg region, stat eller provins"
"Prefix Dropdown Options","Præfiks Dropdown Indstillinger"
"Price","Pris"
"Product","Produkt"
"Product ID","Produkt ID"
"Product Name","Produktnavn"
"Product Reviews","Produktanmeldelser"
"Product Tags","Produkt-tags"
"Purchase On","Købt den"
"Purchased On","Købt den"
"Qty","Antal"
"Recent Orders","Bestilt for nyligt"
"Recovery Link Expiration Period (hours)","Udløbsperiode for genskabelseslink (timer)"
"Redirect Customer to Account Dashboard after Logging in","Omdiriger Kunden til Konto Kontrolpanel efter at have logget ind"
"Refunded","Refunderet"
"Register","Opret konto"
"Registered Customers","Eksisterende kunde"
"Remind Email Template","Påmind E-Mail Skabelon"
"Remove","Fjern"
"Require Emails Confirmation","påkræv E-Mails bekræftelse"
"Retrieve address data","Hent adressedata"
"Retrieve address info","Hent adresseinfo"
"Retrieve customer addresses","Hent kundeadresser"
"Retrieve customer data","Hent kundedata"
"Retrieve customers","Hent kunder"
"Retrieve your confirmation link here","Hent dit bekræftelseslink her"
"Retrieve your password here","Få dit kodeord tilsendt her"
"SKU","Varenummer"
"Sales Statistics","Salgsstatistik"
"Save","Gem"
"Save Address","Gem adresse"
"Save Customer","Gem kunde"
"Save Customer Group","Gem kundegruppe"
"Save Password","Gem kodeord"
"Save and Continue Edit","Gem og fortsæt redigering"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semikolon-separerede værdier (;).<br/>Start med semikolon for at lade den første mulighed være tom.<br/>Udfyld ikke for åbent tekstfelt."
"Send From","Send fra"
"Send Welcome Email after Confirmation","Send velkomstmail efter bekræftelse"
"Send confirmation link","Send bekræftelseslink"
"Sending","Sender"
"Sent","Sendt"
"Session Start Time","Session start"
"Set as Default Billing Address","Sæt som primær betalingsadresse"
"Set as Default Shipping Address","Sæt som primær leveringsadresse"
"Share Customer Accounts","Del Kunde Konti"
"Shipped to First Name","Leveret til fornavn"
"Shipped to Last Name","Efternavn (levering)"
"Shipped to Name","Sendt til navn"
"Shopping Cart","Indkøbskurv"
"Shopping Cart - %d item(s)","Indkøbskurv - %d vare(r)"
"Show Date of Birth","Vis fødselsdag"
"Show Gender","Vis køn"
"Show Middle Name (initial)","Vis Mellemnavn (initial)"
"Show Prefix","Vis Præfiks"
"Show Tax/VAT Number","Vis CVR nummer"
"Sign Up for Newsletter","Tilmeld nyhedsbrev"
"State/Province","Stat eller Region"
"Store","Butik"
"Store View","Butiksvisning"
"Street Address","Gade/vejnavn"
"Subject","Emne"
"Submit","Send"
"Subscribe to Newsletter","Tilmeld nyhedsbrev"
"Subscribed to Newsletter?","Tilmeldt nyhedsbrev?"
"Suffix Dropdown Options","Suffiks Dropdown Indstillinger"
"Tag Name","Navn"
"Tax Calculation Based On","Moms Beregning Baseret På"
"Tax Class","Momsklasse"
"Tax/VAT number","Momsnummer"
"Telephone","Telefonnummer"
"Text","Tekst"
"Text One Line","Tekst 1 Linje"
"The VAT ID entered (%s) is not a valid VAT ID.","Det indtastet CVR nummer (%s) er ikke et gyldigt CVR nummer."
"The VAT ID is valid. The current Customer Group will be used.","CVR-ID er gyldigt. Den nuværende kundegruppe vil blive brugt."
"The customer does not have default billing address.","Kunden har ikke standard faktureringsadresse."
"The suffix that goes after name (Jr., Sr., etc.)","Den suffiks der går efter navn (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Titlen der går før navn (Mr., Mrs., osv.)"
"There are no items in customer's wishlist at the moment","Der er ingen varer på kundens ønskeseddel i øjeblikket"
"There are no items in customer's shopping cart at the moment","Der er ingen varer i kundens indkøbskurv i øjeblikket"
"This account is not confirmed.","Denne konto er ikke bekræftet."
"This customer has no saved addresses.","Der er ingen adresser gemt for denne kunde."
"This email does not require confirmation.","Denne e-mail kræver ikke bekræftelse."
"To Cart","Gå til din indkøbskurv"
"Total","I alt"
"Unknown","Ukendt"
"Unsubscribe from Newsletter","Afmeld nyhedsbrev"
"Update","Opdater"
"Update customer address data","Opdater adresseinfo for kunde"
"Update customer data","Opdater kundedata"
"Use as my default billing address","Brug som min standard faktureringsadresse"
"Use as my default shipping address","Brug som min standard forsendelsesadresse"
"VAT Number","CVR nummer"
"VAT Request Date","MOMS anmodningsdato"
"VAT Request Identifier","MOMS anmodning id"
"Validate VAT Number","Valider CVR-nummer"
"Validate on Each Transaction","Valider på hver transaktion"
"Validation Error Group","Fejlgruppe For Validering"
"View","Vis"
"View Order","Vis ordre"
"Visitor","Besøgende"
"Visitors Only","Kun for gæster"
"Website","Hjemmeside"
"Welcome Email","Velkomst e-mail"
"Wishlist","Ønskeliste"
"Wishlist - %d item(s)","Ønskeseddel - %d vare(r)"
"Would you like to change the Customer Group for this order?","Vil du gerne ændre kundegruppen for denne ordre?"
"Wrong confirmation key.","Forkert bekræftelsesnøgle."
"Wrong customer account specified.","Forkert kundekonto angivet."
"Wrong email.","Forkert e-mail."
"YYYY","ÅÅÅÅ"
"Year","År"
"You are currently not subscribed to any newsletter.","Du er i øjeblikket ikke tilmeldt vores nyhedsbrev."
"You are currently subscribed to 'General Subscription'.","Du er i øjeblikket tilmeldt 'Generelt abonnement'."
"You are currently subscribed to our newsletter.","Du er tilmeldt vores nyhedsbrev"
"You have no additional address entries in your address book.","Du har ikke yderligere adresser i din adressebog"
"You have no additional entries in your address book.","Du har ikke yderligere adresser i din adressebog"
"You have no default billing address in your address book.","Du har ingen standard faktureringsadresse."
"You have no default shipping address in your address book.","Du har ingen standard forsendelsesadresse i din adressebog."
"You have not set a default billing address.","Du har ikke angivet en standard faktureringsadresse."
"You have not set a default shipping address.","Du har ikke angivet en standard forsendelsesadresse."
"You have placed no orders yet.","Ingen ordrer endnu..."
"You have placed no products yet.","Du har ikke ingen produkter i kurven."
"You will be charged tax.","Du vil blive opkrævet moms."
"You will not be charged tax.","Du vil ikke blive opkrævet moms."
"Your Tax ID cannot be validated.","Din moms-ID kan ikke valideres."
"Your VAT ID was successfully validated.","Dit CVR nummer er valideret succesfuldt."
"Your account balance is: %s","Din kontobalance er: <strong>%s</strong>"
"ZIP","Postnr."
"ZIP/Post Code","ZIP/Postnr"
"Zip/Postal Code","Postnummer"
"n/a","Ikke tilgængelig"
"or","eller"
