"* Required Fields","* 필수 항목"
"Save Customer","고객 저장"
"Save Customer Group","고객 그룹 저장"
"Save and Continue Edit","저장하고 계속 편집하기"
"Send confirmation link","확인 링크 전송"
"Sending","전송"
"Sent","전송됨"
"Share Customer Accounts","고객 계정 공유"
"Shopping Cart","장바구니"
"Show Date of Birth","생년월일 보여주기"
"Show Gender","성별 보여주기"
"Show Middle Name (initial)","중간 이름 보여주기(이니셜)"
"Show Prefix","접두사 보여주기"
"Show Suffix","접미사 보여주기"
"Show Tax/VAT Number","Tax/VAT 번호 보여주기"
"Sign Up for Newsletter","뉴스레터를 받아보겠습니다"
"State/Province","시/도"
"Status","상태"
"Store","스토어"
"Store View","스토어뷰"
"Street Address","도로명주소"
"Subject","제목"
"Submit","전송"
"Subscribe to Newsletter","뉴스레터 구독"
"Suffix Dropdown Options","접미사 드롭다운 옵션"
"Tax Class","세금 유형"
"Text","텍스트"
"The VAT ID entered (%s) is not a valid VAT ID.","입력된 VAT ID(%s)이(가) 올바르지 않습니다."
"The VAT ID is valid. The current Customer Group will be used.","올바른 VAT ID 입니다. 해당 고객 그룹은 사용가능합니다."
"The customer does not have default billing address.","기본 구매 주소가 없습니다."
"The suffix that goes after name (Jr., Sr., etc.)","접미사는 이름 뒤에 표시됩니다. (Jr., Sr. 등)"
"The title that goes before name (Mr., Mrs., etc.)","타이틀이 이름 앞에 표시됩니다. (Mr., Mrs. 등)"
"This email does not require confirmation.","확인이 필요하지 않는 이메일 입니다."
"Total","총합계"
"Type","타입"
"Unknown","알 수 없음"
"Unsubscribe from Newsletter","뉴스레터 구독 취소"
"Update","확인"
"Use as my default billing address","기본 구매자 주소로 사용"
"Use as my default shipping address","기본 배송지 주소로 사용"
"VAT Number","VAT 번호 "
"Validate VAT Number","VAT 번호 검증"
"View","보기"
"View Order","주문 보기"
"Visitor","방문자"
"Website","웹사이트"
"Welcome Email","환영 이메일"
"Wishlist","위시리스트"
"Would you like to change the Customer Group for this order?","해당 주문을 위해 고객 그룹을 바꾸겠습니까?"
"Wrong email.","잘못된 이메일."
"Year","연도"
"You have no default billing address in your address book.","주소록에 저장된 구매자 주소가 없습니다."
"You have no default shipping address in your address book.","주소록에 저장된 배송지 주소가 없습니다."
"You have not set a default billing address.","기본 구매자 주소를 설정하지 않았습니다."
"You have not set a default shipping address.","기본 배송지 주소를 설정하지 않았습니다."
"You will be charged tax.","세금이 부과됩니다."
"You will not be charged tax.","세금이 부과되지 않습니다."
"Your Tax ID cannot be validated.","세금 ID를 검정할 수 없습니다."
"Your VAT ID was successfully validated.","VAT 번호가 성공적으로 검정되었습니다."
"ZIP","우편번호"
"Zip/Postal Code","우편번호"
