"# of Use","# đã sử dụng"
"%1$s incl tax.","%1$s Bao gồm thuế."
"%s Item(s)","%s Mục"
"Cache Lifetime (Seconds)","Dòng đời Bộ nhớ cache (giây)"
"Cancel","Hủy bỏ"
"Cart Item Attribute","Thuộc tính sản phẩm trong Giỏ hàng"
"Catalog","Danh mục"
"Catalog Category Link","Liên kết danh mục chủng loại"
"Catalog New Products List","Danh sách sản phẩm mới"
"Catalog Price Scope","Phạm vi giá theo Danh mục"
"Catalog Product Link","Link danh mục sản phẩm"
"Catalog Section","Phần danh mục"
"Catalog, Search","Danh mục, tìm kiếm"
"Categories","Nhóm"
"Category","Nhóm"
"Category Flat Data","Danh mục dữ liệu bằng phẳng"
"Category Link Block Template","Khối mẫu liên kết danh mục"
"Category Link Inline Template","Mẫu liên kết danh mục nội tuyến"
"Category Products","Danh mục sản phẩm"
"Category Top Navigation","Điều hướng chủng loại trên cùng"
"Category URL Suffix","Nhóm URL Suffix"
"Center","Trung tâm"
"Change","Thay đổi"
"Change status","Thay đổi trạng thái"
"Check items to add to the cart or","Kiểm tra các mục để thêm vào giỏ hàng hoặc"
"Choose an Option...","Chọn một tùy chọn..."
"Clear All","Xóa tất cả"
"Clear Price","Giá rõ ràng"
"Click for price","Nhấp vào để xem giá"
"Close Window","Đóng cửa sổ"
"Collapse All","Thu gọn tất cả"
"Comma-separated.","Ngăn cách bởi dấu phẩy."
"Comparable","Có thể so sánh"
"Compare","So sánh"
"Compare Products","So sánh sản phẩm"
"Conditions Combination","Kết hợp Điều kiện"
"Configure Product","Cấu hình sản phẩm"
"Continue","Tiếp tục"
"Country/State","Quốc gia/Bang"
"Create","Tạo"
"Create Permanent Redirect for URLs if URL Key Changed","Tạo ra chuyển hướng vĩnh viễn cho URL nếu URL key thay đổi"
"Create Permanent Redirect for old URL","Tạo ra chuyển hướng vĩnh viễn cho URL cũ"
"Custom Design","Thiết kế tùy chỉnh"
"Custom Options","Tùy chọn tùy chỉnh"
"Customer Group","Nhóm khách hàng"
"Customers Reviews","Khách hàng đánh giá"
"Data Type for Saving in Database","Kiểu dữ liệu để lưu trong cơ sở dữ liệu"
"Date & Time Custom Options","Tùy chọn tùy chỉnh Ngày & thời gian"
"Date Fields Order","Trường ngày đặt hàng"
"Datetime","Ngày"
"Decimal","Thập phân"
"Default ""What's This"" Text Message","Mặc định ""Đây là gì?"" tin nhắn văn bản"
"Default Popup Text Message","Tin nhắn văn bản mặc định Popup"
"Default Price","Giá mặc định"
"Default Price Navigation Step","Mặc định giá bước chuyển hướng"
"Default Qty","Số lượng Mặc định"
"Default Values","Giá trị mặc định"
"Delete","Xóa bỏ"
"Delete Attribute","Xóa thuộc tính"
"Delete Option","Xóa lựa chọn"
"Delete Row","Xóa hàng"
"Delete Search","Xóa tìm kiếm"
"Delete Selected Group","Xoá nhóm đã chọn"
"Delete Tier","Xóa Tier"
"Description","Mô tả"
"Design","Thiết kế"
"Details","Chi tiết"
"Disabled","Vô hiệu hóa"
"Display Actual Price","Hiển thị giá thực tế"
"Display Page Control","Hiển thị điều khiển Trang"
"Display Price Interval as One Price","Hiển thị giá khoảng thời gian như là một mức giá"
"Display Product Count","Hiển thị sản phẩm số"
"Display Type","Loại hiển thị"
"Display in Suggested Terms","Hiển thị trong cụm từ gợi ý"
"Downloadable Information","Thông tin có thể tải về"
"Duplicate amount found.","Sao chép lại số tiền được tìm thấy."
"Edit","Chỉnh sửa"
"Edit Product Attribute","Chỉnh sửa thuộc tính sản phẩm"
"Edit Search","Chỉnh sửa tìm kiếm"
"Email to a Friend","Email cho bạn bè"
"Empty","Trống"
"Enable MAP","Cho phép MAP"
"Enable Qty Increments","Cho phép gia số số lượng"
"Enabled","Cho phép"
"Exclude","Ngoại trừ"
"Expand All","Mở rộng tất cả"
"Failed","Thất bại"
"Filter","Bộ lọc"
"Filterable (no results)","Có thể lọc (không kết quả)"
"Filterable (with results)","Có thể lọc (với kết quả)"
"First Name","Tên"
"Fixed","Cố định"
"For the last time placed.","Lần cuối cùng được đặt."
"Frontend Model","Mô hình Frontend"
"Gallery","Bộ sưu tập"
"General Information","Thông tin chung"
"Global","Toàn cầu"
"Globally Editable","Có thể chỉnh sửa trên toàn cầu"
"Go to Home Page","Đi đến trang chủ"
"Grid","Lưới"
"Groups","Nhóm"
"Home","Trang chủ"
"Image","Hình ảnh"
"In Cart","Trong giỏ hàng"
"In Stock","Còn hàng"
"In stock","Còn trong kho"
"Incl. Tax","Đã bao gồm thuế"
"Index product prices","Chỉ số giá sản phẩm"
"Indexed category/products association","Hiệp hội được đánh chỉ mục danh mục/sản phẩm"
"Input Type","Loại đầu vào"
"Integer","Số nguyên"
"Interval Division Limit","Khoảng thời gian phân chia giới hạn"
"Inventory","Hàng tồn kho"
"Is Default","Mặc định Is"
"Is Required","Là bắt buộc"
"Label","Nhãn"
"Last Name","Họ"
"Learn More","Tìm hiểu thêm"
"Link to a Specified Category","Liên kết đến một thể loại cụ thể"
"Link to a Specified Product","Liên kết đến một sản phẩm được chỉ định"
"List","Danh sách"
"List Mode","Danh sách chế độ"
"List of Products that are set as New","Danh sách các sản phẩm được thiết lập như mới"
"Manage Attribute Sets","Quản lý các bộ thuộc tính"
"Manage Catalog Categories","Quản lý những loại danh mục"
"Manage Categories","Quản lý danh mục"
"Manage Label / Options","Quản lý nhãn / tùy chọn"
"Manage Product Attributes","Quản lý các thuộc tính sản phẩm"
"Manage Product Sets","Quản lý bộ sản phẩm"
"Manage Stock","Quản lý kho"
"Manage Titles (Size, Color, etc.)","Quản lý danh hiệu (kích thước, màu sắc, vv)"
"Max Characters","Ký tự tối đa"
"Maximal Depth","Độ sâu tối đa"
"Maximum Image Size","Kích cỡ hình ảnh tối đa"
"Maximum Number of Price Intervals","Số lượng khoảng giá tối đa"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa được cho phép trong giỏ hàng"
"Maximum image height","Chiều cao hình ảnh tối đa"
"Maximum image width","Chiều rộng hình ảnh tối đa"
"Maximum number of characters:","Số lượng ký tự tối đa:"
"Maximum number of price intervals is 100","Số lượng giá khoảng tối đa là 100"
"Media Image","Phương tiện truyền thông hình ảnh"
"Minimum Advertised Price","Giá quảng cáo Tối thiểu"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu được cho phép trong giỏ hàng"
"Move","Di chuyển"
"My Account","Tài khoản của tôi"
"N/A","Không xác định"
"Name","Tên"
"New Product","Sản phẩm mới"
"New Product Attribute","Thuộc tính Sản phẩm mới"
"New Products","Sản phẩm mới"
"New Products Grid Template","Mẫu lưới sản phẩm mới"
"New Products List Template","Mẫu danh sách sản phẩm mới"
"New Search","Tìm kiếm mới"
"New Set Name","đặt tên mới"
"New products","Sản phẩm mới"
"Next","Tiếp theo"
"No","Không"
"No image","Không có hình ảnh"
"No layout updates","Không có giao diện cập nhật"
"No options of this product are available.","Lựa chọn sản phẩm không có sẵn."
"None","Không cái nào"
"Not Visible Individually","Không thể nhìn thấy cá nhân"
"Notify Low Stock RSS","Thông báo tồn kho thấp"
"Notify for Quantity Below","Thông báo cho cho số lượng dưới đây"
"Number of Products per Page","Số sản phẩm mỗi trang"
"Number of Products to Display","Số lượng sản phẩm để hiển thị"
"Number of Uses","Số lần sử dụng"
"Number of results","Số lượng kết quả"
"Number of results (For the last time placed)","Số lượng kết quả (cho thời gian được đặt)"
"OK","Đồng ý"
"On Gesture","Bằng cử chỉ"
"Options","Tùy chọn"
"Out of Stock","Tạm hết hàng"
"Out of stock","Tạm hết hàng"
"PM","Chiều"
"Page Title Separator","Phân cách trang tiêu đề"
"Parent Category","Danh mục cha"
"Pending","Đợi duyệt"
"Pending Reviews RSS","Đang chờ giải quyết giá RSS"
"Please add rows to option.","Xin vui lòng thêm dòng để lựa chọn."
"Please specify date required option(s).","Xin vui lòng chỉ rõ lựa chọn ngày được yêu cầu."
"Please specify the number of products, that will not be divided into subintervals.","Hãy chỉ ra số lượng sản phẩm, mà sẽ không được chia thành khoảng."
"Please specify the quantity of product(s).","Hãy chỉ ra số lượng sản phẩm."
"Please specify time required option(s).","Xin vui lòng chỉ rõ lựa chọn thời gian được yêu cầu."
"Please wait...","Vui lòng chờ..."
"Position","Vị trí"
"Position in Layered Navigation","Vị trí trong Layered Navigation"
"Prev","Trước"
"Previous","Trước"
"Price","Giá"
"Price Navigation Step Calculation","Giá Navigation bước tính toán"
"Price Type","Loại giá"
"Price:","Giá:"
"Print This Page","In Trang này"
"Product","Sản phẩm"
"Product Alerts","Sản phẩm cảnh báo"
"Product Attribute","Thuộc tính sản phẩm"
"Product Attributes","Thuộc tính sản phẩm"
"Product Categories","Những danh mục sản phẩm"
"Product Flat Data","Dữ liệu sản phẩm phẳng"
"Product ID","ID sản phẩm"
"Product Image Placeholders","Giữ chỗ cho hình ảnh sản phẩm"
"Product Image Watermarks","Hình ảnh chìm của sản phẩm"
"Product In Websites","Các sản phẩm trong trang web"
"Product Info Column","Cột thông tin sản phẩm"
"Product Link Block Template","Khối mẫu liên kết sản phẩm"
"Product Link Inline Template","Mẫu liên kết sản phẩm nội tuyến"
"Product Listing Sort by","Danh sách sản phẩm sắp xếp theo"
"Product Name","Tên sản phẩm"
"Product Reviews","Đánh giá sản phẩm"
"Product URL Suffix","Sản phẩm URL Suffix"
"Product is not loaded","Sản phẩm không tải được"
"Products","Các sản phẩm"
"Products Comparison List","Danh sách sản phẩm so sánh"
"Products Information","Thông tin sản phẩm"
"Products Reviews","Đánh giá sản phẩm"
"Products only","Chỉ sản phẩm"
"Products per Page on Grid Allowed Values","Các sản phẩm trên mỗi trang trong danh sách giá trị được cho phép"
"Products per Page on Grid Default Value","Các sản phẩm mỗi trang trên danh sách giá trị mặc định"
"Products per Page on List Allowed Values","Các sản phẩm trên mỗi trang trong danh sách giá trị được cho phép"
"Products per Page on List Default Value","Các sản phẩm trên mỗi trang trong danh sách giá trị mặc định"
"Properties","Thuộc tính"
"Qty","Số lượng"
"Qty Increments","Gia số số lượng"
"Qty Uses Decimals","Số lượng sử dụng số thập phân"
"Qty:","Số lượng:"
"Quantity","Số lượng"
"Redirect URL","Chuyển hướng URL"
"Related Products","Sản phẩm liên quan"
"Remove","Loại bỏ"
"Remove Product From Websites","Loại bỏ các sản phẩm từ trang web"
"Remove This Item","Loại bỏ mục này"
"Reorganize EAV category structure to flat structure","Tổ chức lại loại cấu trúc EAV thành cấu trúc phẳng"
"Reorganize EAV product structure to flat structure","Tổ chức lại cơ cấu sản phẩm EAV thành cấu trúc phẳng"
"Reset","Thiết lập lại"
"Results","Kết quả"
"Reviews","Các đánh giá"
"Root","Gốc"
"SKU","MÃ SẢN PHẨM"
"Save","Lưu lại"
"Save Attribute","Lưu thuộc tính"
"Save Search","Lưu tìm kiếm"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Scope","Phạm vi"
"Search","Tìm kiếm"
"Search Information","Thông tin Tìm kiếm"
"Search Query","Truy vấn tìm kiếm"
"Search Weight","Tìm trọng lượng"
"Searchable","Có thể tìm kiếm"
"See price before order confirmation.","Xem giá trước khi xác nhận đơn hàng."
"Select Category...","Chọn danh mục..."
"Select Product...","Lựa chọn sản phẩm..."
"Select type options required values rows.","Chọn loại tùy chọn được yêu cầu giá trị hàng."
"Send Count","Gửi Tổng số"
"Set Ascending Direction","Thiết lập theo hướng tăng dần"
"Set Descending Direction","Thiết lập theo hướng giảm dần"
"Settings","Cài đặt"
"Shop By","Mua sắm bằng"
"Shopping Options","Lựa chọn mua sắm"
"Show","Hiển thị"
"Show Details","Hiển thị chi tiết"
"Site Map","Bản đồ trang web"
"Sitemap","Sơ đồ trang web"
"Some of the selected item options are not currently available.","Một số tùy chọn khoản mục đã chọn không có sẵn hiện nay."
"Sort By","Sắp xếp theo"
"Sort Order","Thứ tự sắp xếp"
"Source Model","Mô hình mã nguồn"
"Static","Tĩnh"
"Static block and products","Khối tĩnh và các sản phẩm"
"Static block only","Khối tĩnh"
"Status","Trạng thái"
"Stock Availability","Tình trạng hàng"
"Store","Cửa hàng"
"Store View","Xem cửa hàng"
"Stretch","Căng"
"Subscribe to RSS Feed","Đăng ký RSS Feed"
"System Properties","Thuộc tính hệ thống"
"Tax","Thuế"
"Template","Mẫu"
"Text","Nội dung"
"The base directory to upload file is not specified.","Thư mục cơ bản để tải lên tập tin không được chỉ định."
"The review was removed by another user or does not exist.","Các đánh giá được gỡ bỏ bởi người dùng khác hoặc không tồn tại."
"There are no customers for this alert.","Không có khách hàng này cảnh báo."
"This attribute cannot be edited.","Thuộc tính này không thể được chỉnh sửa."
"This attribute is used in configurable products.","Thuộc tính này được sử dụng trong sản phẩm cấu hình."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Thuộc tính này được sử dụng trong cấu hình sản phẩm. Bạn không thể gỡ bỏ nó từ các thiết lập thuộc tính."
"This attribute set no longer exists.","Thuộc tính này thiết lập không còn tồn tại."
"This group contains system attributes. Please move system attributes to another group and try again.","Nhóm này chứa thuộc tính hệ thống. Xin vui lòng di chuyển thuộc tính hệ thống nhóm khác và thử lại."
"This search no longer exists.","Tìm kiếm này không còn tồn tại."
"This setting will be applied when all prices in the specific price interval are equal.","Thiết đặt này sẽ được áp dụng khi giá cả trong khoảng thời gian cụ thể giá là bình đẳng."
"Tier Pricing","Giá theo bậc"
"Tile","Ngói"
"Time Format","Định dạng thời gian"
"Title","Tiêu đề"
"To see product price, add this item to your cart. You can always remove it later.","Để xem sản phẩm giá, thêm mục này vào giỏ hàng của bạn. Bạn luôn luôn có thể xóa nó sau này."
"Top/Left","Trên cùng/trái"
"Top/Right","Trên cùng/phải"
"Type","Loại"
"URL Rewrite Management","Quản lý viết lại mã URL"
"Unassigned Attributes","Thuộc tính không được chỉ định"
"Update","Cập nhật"
"Update Attributes","Cập Nhật thuộc tính"
"Update attributes","Cập Nhật thuộc tính"
"Use Canonical Link Meta Tag For Categories","Sử dụng thẻ Meta Canonical Liên kết thể loại"
"Use Canonical Link Meta Tag For Products","Sử dụng thẻ Meta Canonical Liên kết cho các sản phẩm"
"Use Categories Path for Product URLs","Sử dụng URL đường dẫn nhóm cho các sản phẩm"
"Use Config Settings","Sử dụng cấu hình cài đặt"
"Use Default Value","Sử dụng giá trị mặc định"
"Use Flat Catalog Category","Sử dụng nhóm danh mục phẳng"
"Use Flat Catalog Product","Sử dụng sản phẩm danh mục phẳng"
"Use JavaScript Calendar","Sử dụng lịch JavaScript"
"Use config","Sử dụng cấu hình"
"Use default","Sử dụng mặc định"
"Use for Promo Rule Conditions","Sử dụng cho điều kiện của quy định quảng cáo"
"Use in Layered Navigation","Dùng trong Layered Navigation"
"Used for Sorting in Product Listing","Được sử dụng để phân loại trong danh sách sản phẩm"
"Used in Product Listing","Được sử dụng trong danh sách sản phẩm"
"View Details","Xem chi tiết"
"View as","Xem dưới dạng"
"Visibility","Hiển thị"
"Visible","Thấy được"
"Website","Trang web"
"Websites","Các trang web"
"What's this?","Đây là gì?"
"Year Range","Khoảng năm"
"Yes","Có"
"You have no items to compare.","Bạn có không có mục nào để so sánh."
"You saved the search term.","Bạn lưu lại cụm từ tìm kiếm."
"and above","và ở trên"
"ex. http://domain.com","ví dụ: http://domain.com"
"per page","mỗi trang"
"save","lưu"
"select all","chọn tất cả"
"unselect all","bỏ chọn tất cả"
